t,x,y
4.471,0.281,-0.16
4.504,0.284,-0.162
4.537,0.288,-0.163
4.571,0.293,-0.163
4.604,0.299,-0.163
4.637,0.307,-0.164
4.671,0.315,-0.166
4.704,0.325,-0.166
4.738,0.335,-0.167
4.771,0.346,-0.168
4.804,0.357,-0.168
4.838,0.369,-0.168
4.871,0.382,-0.168
4.904,0.394,-0.169
4.938,0.407,-0.169
4.971,0.42,-0.17
5.004,0.432,-0.169
5.038,0.444,-0.169
5.071,0.455,-0.169
5.105,0.466,-0.169
5.138,0.476,-0.169
5.171,0.485,-0.168
5.205,0.493,-0.167
5.238,0.5,-0.167
5.271,0.506,-0.167
5.305,0.51,-0.167
5.338,0.513,-0.168
5.371,0.514,-0.168
5.405,0.514,-0.167
5.438,0.513,-0.167
5.472,0.51,-0.168
5.505,0.506,-0.169
5.538,0.501,-0.168
5.572,0.494,-0.168
5.605,0.487,-0.168
5.638,0.478,-0.169
5.672,0.468,-0.17
5.705,0.457,-0.17
5.738,0.446,-0.169
5.772,0.434,-0.169
5.805,0.422,-0.169
5.839,0.409,-0.168
5.872,0.397,-0.168
5.905,0.384,-0.168
5.939,0.372,-0.167
5.972,0.36,-0.166
6.005,0.348,-0.165
6.039,0.337,-0.165
6.072,0.327,-0.164
6.105,0.317,-0.163
6.139,0.309,-0.162
6.172,0.301,-0.161
6.206,0.295,-0.161
6.239,0.289,-0.16
6.272,0.285,-0.161
6.306,0.282,-0.162
6.339,0.281,-0.161
6.372,0.281,-0.16
6.406,0.282,-0.16
6.439,0.284,-0.162
6.472,0.287,-0.162
6.506,0.292,-0.163
6.539,0.298,-0.163
6.573,0.305,-0.164
6.606,0.314,-0.165
6.639,0.323,-0.166
6.673,0.332,-0.167
6.706,0.343,-0.167
6.739,0.355,-0.168
6.773,0.367,-0.168
6.806,0.379,-0.168
6.839,0.392,-0.169
6.873,0.404,-0.17
6.906,0.417,-0.17
6.94,0.429,-0.17
6.973,0.441,-0.169
7.006,0.453,-0.169
7.04,0.464,-0.169
7.073,0.474,-0.169
7.106,0.483,-0.168
