t,x,y
2.569,3.533,-0.874
2.602,3.527,-0.878
2.636,3.508,-0.895
2.669,3.471,-0.909
2.702,3.419,-0.916
2.736,3.353,-0.927
2.769,3.273,-0.946
2.802,3.183,-0.975
2.836,3.08,-1.001
2.869,2.966,-1.019
2.903,2.845,-1.034
2.936,2.716,-1.058
2.969,2.581,-1.08
3.003,2.441,-1.09
3.036,2.298,-1.088
3.069,2.155,-1.088
3.103,2.012,-1.093
3.136,1.872,-1.092
3.169,1.737,-1.077
3.203,1.605,-1.056
3.236,1.481,-1.039
3.269,1.363,-1.031
3.303,1.256,-1.02
3.336,1.161,-1.001
3.37,1.079,-0.98
3.403,1.01,-0.969
3.436,0.953,-0.966
3.47,0.911,-0.956
3.503,0.886,-0.938
3.536,0.875,-0.925
3.57,0.877,-0.925
3.603,0.894,-0.929
3.636,0.928,-0.926
3.67,0.976,-0.918
3.703,1.037,-0.92
3.737,1.109,-0.934
3.77,1.193,-0.952
3.803,1.289,-0.963
3.837,1.395,-0.968
3.87,1.508,-0.979
3.903,1.628,-0.998
3.937,1.753,-1.01
3.97,1.883,-1.01
4.003,2.015,-1.005
4.037,2.15,-1.005
4.07,2.285,-1.009
4.104,2.421,-1.004
4.137,2.553,-0.987
4.17,2.683,-0.97
4.204,2.809,-0.96
4.237,2.931,-0.956
4.27,3.043,-0.945
4.304,3.146,-0.926
4.337,3.239,-0.911
4.37,3.322,-0.907
4.404,3.394,-0.906
4.437,3.45,-0.897
4.471,3.492,-0.884
4.504,3.52,-0.878
4.537,3.535,-0.886
4.571,3.534,-0.894
4.604,3.517,-0.895
4.637,3.484,-0.896
4.671,3.435,-0.911
4.704,3.372,-0.936
4.737,3.297,-0.962
4.771,3.208,-0.979
4.804,3.105,-0.995
4.838,2.993,-1.022
4.871,2.874,-1.051
4.904,2.746,-1.068
4.938,2.611,-1.074
4.971,2.473,-1.08
5.004,2.331,-1.091
5.038,2.188,-1.1
5.071,2.045,-1.094
5.104,1.905,-1.08
5.138,1.768,-1.07
5.171,1.636,-1.065
5.204,1.511,-1.059
5.238,1.394,-1.044
5.271,1.288,-1.02
5.305,1.19,-1.007
5.338,1.105,-1.002
5.371,1.031,-0.988
5.405,0.974,-0.965
5.438,0.929,-0.947
5.471,0.899,-0.938
5.505,0.883,-0.937
5.538,0.883,-0.929
5.571,0.899,-0.915
5.605,0.93,-0.91
5.638,0.971,-0.92
5.672,1.028,-0.935
5.705,1.097,-0.944
5.738,1.18,-0.947
5.772,1.271,-0.958
5.805,1.37,-0.979
5.838,1.479,-0.995
5.872,1.597,-1
5.905,1.72,-1.001
5.938,1.848,-1.007
5.972,1.978,-1.018
6.005,2.112,-1.02
6.039,2.247,-1.008
6.072,2.384,-0.995
6.105,2.519,-0.99
6.139,2.651,-0.99
6.172,2.778,-0.983
6.205,2.9,-0.965
6.239,3.015,-0.948
6.272,3.121,-0.943
6.305,3.22,-0.939
6.339,3.305,-0.927
6.372,3.377,-0.907
6.406,3.437,-0.896
6.439,3.483,-0.896
6.472,3.516,-0.897
6.506,3.531,-0.891
6.539,3.532,-0.885
6.572,3.518,-0.891
6.606,3.49,-0.909
6.639,3.446,-0.929
6.672,3.386,-0.944
6.706,3.314,-0.957
6.739,3.229,-0.982
6.773,3.132,-1.012
6.806,3.022,-1.034
