t,x,y
1.168,0.196,-1.27E-02
1.201,0.195,-1.33E-02
1.234,0.193,-1.35E-02
1.268,0.189,-1.32E-02
1.301,0.184,-1.36E-02
1.335,0.177,-1.50E-02
1.368,0.17,-1.60E-02
1.401,0.161,-1.64E-02
1.435,0.151,-1.69E-02
1.468,0.141,-1.77E-02
1.501,0.13,-1.81E-02
1.535,0.118,-1.79E-02
1.568,0.105,-1.86E-02
1.601,9.28E-02,-1.96E-02
1.635,8.03E-02,-2.05E-02
1.668,6.75E-02,-2.03E-02
1.702,5.47E-02,-2.01E-02
1.735,4.22E-02,-2.01E-02
1.768,3.02E-02,-2.03E-02
1.802,1.84E-02,-2.05E-02
1.835,7.36E-03,-1.99E-02
1.868,-2.69E-03,-1.92E-02
1.902,-1.21E-02,-1.90E-02
1.935,-2.03E-02,-1.88E-02
1.968,-2.74E-02,-1.91E-02
2.002,-3.36E-02,-2.03E-02
2.035,-3.83E-02,-2.06E-02
2.068,-4.14E-02,-1.93E-02
2.102,-4.32E-02,-1.86E-02
2.135,-4.35E-02,-1.95E-02
2.169,-4.27E-02,-2.03E-02
2.202,-4.01E-02,-2.05E-02
2.235,-3.61E-02,-2.01E-02
2.269,-3.12E-02,-2.02E-02
2.302,-2.49E-02,-2.15E-02
2.335,-1.75E-02,-2.24E-02
2.369,-8.86E-03,-2.26E-02
2.402,6.34E-04,-2.25E-02
2.435,1.11E-02,-2.29E-02
2.469,2.22E-02,-2.26E-02
2.502,3.41E-02,-2.18E-02
2.536,4.63E-02,-2.20E-02
2.569,5.90E-02,-2.25E-02
2.602,7.19E-02,-2.27E-02
2.636,8.48E-02,-2.18E-02
2.669,9.77E-02,-2.08E-02
2.702,0.11,-2.02E-02
2.736,0.122,-2.00E-02
2.769,0.134,-1.93E-02
2.802,0.145,-1.81E-02
2.836,0.155,-1.69E-02
2.869,0.164,-1.59E-02
2.903,0.173,-1.51E-02
2.936,0.18,-1.50E-02
2.969,0.186,-1.52E-02
3.003,0.191,-1.48E-02
3.036,0.194,-1.33E-02
3.069,0.196,-1.23E-02
3.103,0.196,-1.26E-02
3.136,0.195,-1.33E-02
3.169,0.193,-1.33E-02
3.203,0.19,-1.29E-02
3.236,0.185,-1.32E-02
3.27,0.179,-1.45E-02
3.303,0.172,-1.58E-02
3.336,0.163,-1.64E-02
3.37,0.154,-1.67E-02
3.403,0.144,-1.77E-02
