t,x,y
13.378,0.397,-0.173
13.412,0.404,-0.173
13.445,0.41,-0.174
13.478,0.417,-0.174
13.512,0.423,-0.174
13.545,0.429,-0.173
13.578,0.435,-0.172
13.612,0.44,-0.173
13.645,0.445,-0.173
13.678,0.449,-0.173
13.712,0.453,-0.172
13.745,0.456,-0.172
13.779,0.459,-0.172
13.812,0.461,-0.173
13.845,0.462,-0.172
13.879,0.462,-0.172
13.912,0.462,-0.171
13.945,0.461,-0.171
13.979,0.459,-0.17
14.012,0.457,-0.171
14.045,0.454,-0.172
14.079,0.45,-0.172
14.112,0.446,-0.172
14.146,0.441,-0.172
14.179,0.436,-0.173
14.212,0.431,-0.174
14.246,0.425,-0.174
14.279,0.418,-0.174
14.312,0.412,-0.174
14.346,0.405,-0.174
14.379,0.399,-0.175
14.412,0.392,-0.176
14.446,0.386,-0.177
14.479,0.379,-0.177
14.512,0.373,-0.176
14.546,0.368,-0.176
14.579,0.362,-0.176
14.613,0.357,-0.177
14.646,0.353,-0.176
14.679,0.349,-0.175
14.713,0.346,-0.175
14.746,0.343,-0.176
14.779,0.341,-0.176
14.813,0.34,-0.175
14.846,0.34,-0.175
14.879,0.34,-0.174
14.913,0.341,-0.174
14.946,0.342,-0.173
14.98,0.345,-0.173
15.013,0.348,-0.174
15.046,0.351,-0.174
15.08,0.356,-0.174
15.113,0.36,-0.173
15.146,0.365,-0.173
15.18,0.371,-0.174
15.213,0.377,-0.174
15.246,0.383,-0.174
15.28,0.389,-0.173
15.313,0.396,-0.173
15.347,0.403,-0.173
15.38,0.409,-0.174
15.413,0.416,-0.174
15.447,0.422,-0.174
15.48,0.428,-0.173
15.513,0.434,-0.172
15.547,0.439,-0.173
15.58,0.444,-0.173
15.613,0.449,-0.173
15.647,0.453,-0.172
15.68,0.456,-0.172
15.714,0.459,-0.172
15.747,0.461,-0.173
15.78,0.462,-0.172
15.814,0.462,-0.172
15.847,0.462,-0.171
15.88,0.461,-0.171
15.914,0.46,-0.17
15.947,0.458,-0.171
15.98,0.455,-0.172
16.014,0.451,-0.172
16.047,0.447,-0.172
16.081,0.442,-0.172
16.114,0.437,-0.173
16.147,0.432,-0.173
16.181,0.426,-0.173
16.214,0.42,-0.173
16.247,0.413,-0.173
16.281,0.407,-0.174
16.314,0.4,-0.174
16.347,0.394,-0.176
16.381,0.387,-0.177
16.414,0.381,-0.176
16.447,0.375,-0.176
16.481,0.369,-0.175
16.514,0.364,-0.176
16.548,0.359,-0.176
16.581,0.354,-0.176
16.614,0.35,-0.175
16.648,0.347,-0.175
16.681,0.344,-0.176
16.714,0.342,-0.176
16.748,0.341,-0.175
16.781,0.341,-0.175
16.814,0.341,-0.174
16.848,0.342,-0.174
16.881,0.343,-0.173
16.915,0.345,-0.173
16.948,0.348,-0.174
16.981,0.351,-0.174
17.015,0.355,-0.174
17.048,0.36,-0.173
17.081,0.365,-0.173
17.115,0.371,-0.174
17.148,0.376,-0.174
17.181,0.382,-0.174
17.215,0.389,-0.173
17.248,0.395,-0.173
17.282,0.402,-0.173
17.315,0.408,-0.174
17.348,0.415,-0.175
17.382,0.421,-0.175
17.415,0.427,-0.173
17.448,0.433,-0.173
17.482,0.438,-0.173
17.515,0.443,-0.174
17.548,0.448,-0.173
17.582,0.452,-0.172
17.615,0.455,-0.172
17.649,0.458,-0.173
17.682,0.46,-0.173
17.715,0.462,-0.172
17.749,0.462,-0.172
17.782,0.462,-0.172
17.815,0.461,-0.171
17.849,0.46,-0.17
17.882,0.458,-0.171
17.915,0.455,-0.172
17.949,0.452,-0.172
17.982,0.448,-0.172
18.016,0.443,-0.172
18.049,0.438,-0.173
18.082,0.432,-0.173
18.116,0.427,-0.173
18.149,0.421,-0.173
18.182,0.414,-0.173
18.216,0.408,-0.174
18.249,0.401,-0.174
18.282,0.395,-0.176
18.316,0.388,-0.177
18.349,0.382,-0.176
18.382,0.376,-0.175
18.416,0.37,-0.175
18.449,0.365,-0.176
18.483,0.36,-0.176
18.516,0.355,-0.176
18.549,0.351,-0.175
18.583,0.348,-0.175
18.616,0.345,-0.176
18.649,0.343,-0.176
18.683,0.341,-0.175
18.716,0.341,-0.175
18.749,0.341,-0.175
18.783,0.341,-0.174
18.816,0.343,-0.173
18.85,0.345,-0.173
18.883,0.347,-0.174
18.916,0.351,-0.174
18.95,0.355,-0.174
18.983,0.359,-0.173
19.016,0.364,-0.174
19.05,0.37,-0.174
19.083,0.375,-0.174
19.116,0.381,-0.174
19.15,0.388,-0.174
19.183,0.394,-0.174
19.217,0.4,-0.174
19.25,0.407,-0.175
19.283,0.413,-0.176
19.317,0.419,-0.175
19.35,0.425,-0.174
19.383,0.431,-0.173
19.417,0.436,-0.174
19.45,0.441,-0.174
19.483,0.446,-0.174
19.517,0.45,-0.173
19.55,0.454,-0.172
19.584,0.456,-0.173
19.617,0.458,-0.173
19.65,0.46,-0.172
19.684,0.461,-0.172
19.717,0.461,-0.172
19.75,0.46,-0.171
19.784,0.459,-0.171
19.817,0.457,-0.171
19.85,0.455,-0.172
19.884,0.451,-0.172
19.917,0.448,-0.172
19.95,0.443,-0.172
19.984,0.439,-0.172
20.017,0.433,-0.173
20.051,0.428,-0.173
20.084,0.422,-0.173
20.117,0.416,-0.173
20.151,0.409,-0.173
20.184,0.403,-0.174
20.217,0.396,-0.175
20.251,0.39,-0.176
20.284,0.384,-0.176
20.317,0.378,-0.175
20.351,0.372,-0.174
20.384,0.367,-0.175
20.418,0.362,-0.176
20.451,0.357,-0.175
20.484,0.353,-0.175
20.518,0.349,-0.175
20.551,0.346,-0.176
20.584,0.344,-0.175
20.618,0.343,-0.175
20.651,0.342,-0.175
20.684,0.342,-0.175
20.718,0.342,-0.174
20.751,0.344,-0.173
20.785,0.346,-0.173
20.818,0.348,-0.174
20.851,0.351,-0.174
20.885,0.355,-0.174
20.918,0.359,-0.174
20.951,0.364,-0.174
20.985,0.369,-0.174
21.018,0.374,-0.174
21.051,0.38,-0.174
21.085,0.386,-0.174
21.118,0.393,-0.174
21.152,0.399,-0.174
21.185,0.406,-0.175
21.218,0.412,-0.176
21.252,0.418,-0.175
21.285,0.424,-0.174
21.318,0.429,-0.174
21.352,0.435,-0.174
21.385,0.44,-0.174
21.418,0.444,-0.173
21.452,0.448,-0.172
21.485,0.452,-0.172
21.519,0.455,-0.173
21.552,0.457,-0.173
21.585,0.459,-0.172
21.619,0.46,-0.172
21.652,0.46,-0.172
21.685,0.459,-0.171
21.719,0.458,-0.17
21.752,0.456,-0.171
21.785,0.454,-0.171
21.819,0.451,-0.172
21.852,0.447,-0.171
21.885,0.443,-0.171
21.919,0.439,-0.172
21.952,0.434,-0.173
21.986,0.428,-0.173
22.019,0.428,-0.172
22.052,0.428,-0.172
