t,x,y
2.269,0.468,-0.172
2.302,0.467,-0.172
2.335,0.465,-0.172
2.369,0.462,-0.171
2.402,0.459,-0.171
2.435,0.455,-0.172
2.469,0.45,-0.173
2.502,0.445,-0.174
2.536,0.439,-0.173
2.569,0.433,-0.174
2.602,0.427,-0.175
2.636,0.42,-0.175
2.669,0.413,-0.175
2.702,0.406,-0.175
2.736,0.399,-0.175
2.769,0.392,-0.175
2.802,0.385,-0.176
2.836,0.378,-0.177
2.869,0.371,-0.178
2.902,0.365,-0.177
2.936,0.36,-0.176
2.969,0.354,-0.176
3.003,0.35,-0.177
3.036,0.346,-0.177
3.069,0.343,-0.176
3.103,0.34,-0.175
3.136,0.338,-0.175
3.169,0.337,-0.176
3.203,0.337,-0.176
3.236,0.337,-0.175
3.269,0.338,-0.175
3.303,0.34,-0.174
3.336,0.343,-0.174
3.37,0.346,-0.173
3.403,0.35,-0.174
3.436,0.355,-0.175
3.47,0.36,-0.174
3.503,0.366,-0.173
3.536,0.372,-0.173
3.57,0.378,-0.174
3.603,0.384,-0.174
3.636,0.391,-0.174
3.67,0.398,-0.173
3.703,0.405,-0.173
3.737,0.412,-0.173
3.77,0.419,-0.173
3.803,0.426,-0.174
3.837,0.432,-0.175
3.87,0.438,-0.174
3.903,0.444,-0.173
3.937,0.449,-0.173
3.97,0.454,-0.173
4.003,0.458,-0.173
4.037,0.461,-0.173
4.07,0.464,-0.172
4.104,0.466,-0.172
4.137,0.467,-0.173
4.17,0.468,-0.173
4.204,0.468,-0.173
4.237,0.467,-0.173
4.27,0.465,-0.172
4.304,0.462,-0.171
4.337,0.459,-0.172
4.37,0.455,-0.172
4.404,0.451,-0.173
4.437,0.446,-0.173
4.471,0.44,-0.173
4.504,0.434,-0.174
4.537,0.428,-0.175
4.571,0.421,-0.175
4.604,0.414,-0.175
4.637,0.407,-0.175
4.671,0.4,-0.175
4.704,0.393,-0.175
4.737,0.386,-0.176
4.771,0.379,-0.177
4.804,0.372,-0.178
4.837,0.366,-0.177
4.871,0.361,-0.176
4.904,0.355,-0.176
4.938,0.351,-0.177
4.971,0.347,-0.177
5.004,0.343,-0.176
5.038,0.341,-0.175
5.071,0.339,-0.175
5.104,0.337,-0.176
5.138,0.337,-0.175
5.171,0.337,-0.175
5.204,0.338,-0.174
5.238,0.34,-0.174
5.271,0.342,-0.173
5.305,0.345,-0.173
5.338,0.349,-0.174
5.371,0.353,-0.174
5.405,0.358,-0.174
5.438,0.364,-0.173
5.471,0.369,-0.173
5.505,0.375,-0.173
5.538,0.382,-0.173
5.571,0.388,-0.172
5.605,0.394,-0.172
5.638,0.401,-0.172
5.672,0.408,-0.172
5.705,0.415,-0.173
5.738,0.422,-0.174
5.772,0.428,-0.174
5.805,0.434,-0.173
5.838,0.44,-0.172
5.872,0.445,-0.172
5.905,0.45,-0.172
5.938,0.454,-0.172
5.972,0.457,-0.172
6.005,0.46,-0.171
6.039,0.462,-0.171
6.072,0.463,-0.172
6.105,0.464,-0.172
6.139,0.464,-0.171
6.172,0.463,-0.171
6.205,0.461,-0.171
6.239,0.459,-0.17
6.272,0.456,-0.17
6.305,0.453,-0.171
6.339,0.449,-0.172
6.372,0.444,-0.172
6.406,0.439,-0.172
6.439,0.433,-0.172
6.472,0.427,-0.173
6.506,0.42,-0.174
6.539,0.413,-0.174
6.572,0.407,-0.173
6.606,0.4,-0.174
6.639,0.393,-0.174
6.672,0.386,-0.175
6.706,0.38,-0.176
6.739,0.374,-0.177
6.772,0.367,-0.176
6.806,0.362,-0.175
6.839,0.356,-0.176
6.873,0.352,-0.176
6.906,0.348,-0.176
6.939,0.344,-0.175
6.973,0.342,-0.175
7.006,0.34,-0.175
7.039,0.338,-0.175
7.073,0.338,-0.175
7.106,0.338,-0.174
7.139,0.338,-0.174
7.173,0.34,-0.174
7.206,0.343,-0.173
7.24,0.346,-0.173
7.273,0.349,-0.174
7.306,0.353,-0.174
7.34,0.358,-0.174
7.373,0.363,-0.173
7.406,0.369,-0.173
7.44,0.375,-0.173
7.473,0.381,-0.174
7.506,0.388,-0.173
7.54,0.394,-0.173
7.573,0.401,-0.172
7.607,0.408,-0.173
7.64,0.415,-0.173
7.673,0.421,-0.174
7.707,0.427,-0.174
7.74,0.433,-0.173
7.773,0.439,-0.172
7.807,0.444,-0.172
7.84,0.449,-0.173
7.873,0.453,-0.173
7.907,0.456,-0.172
7.94,0.459,-0.171
7.974,0.461,-0.171
8.007,0.463,-0.172
8.04,0.464,-0.172
8.074,0.464,-0.172
8.107,0.463,-0.172
8.14,0.462,-0.171
8.174,0.46,-0.17
8.207,0.457,-0.171
8.24,0.454,-0.172
8.274,0.449,-0.173
8.307,0.445,-0.172
8.341,0.44,-0.172
8.374,0.434,-0.173
8.407,0.428,-0.174
8.441,0.422,-0.174
8.474,0.415,-0.174
8.507,0.408,-0.174
8.541,0.401,-0.174
8.574,0.394,-0.175
8.607,0.389,-0.176
8.641,0.382,-0.177
8.674,0.376,-0.177
8.707,0.37,-0.176
8.741,0.364,-0.175
8.774,0.359,-0.176
8.808,0.354,-0.177
8.841,0.35,-0.176
8.874,0.346,-0.176
8.908,0.343,-0.175
8.941,0.341,-0.176
8.974,0.339,-0.176
9.008,0.338,-0.175
9.041,0.338,-0.174
9.074,0.339,-0.174
9.108,0.34,-0.174
9.141,0.343,-0.173
9.175,0.346,-0.173
9.208,0.349,-0.173
9.241,0.352,-0.173
9.275,0.357,-0.173
9.308,0.362,-0.172
9.341,0.368,-0.173
9.375,0.374,-0.173
9.408,0.381,-0.173
9.441,0.387,-0.173
9.475,0.394,-0.172
9.508,0.4,-0.172
9.542,0.406,-0.172
9.575,0.413,-0.173
9.608,0.42,-0.173
9.642,0.426,-0.173
9.675,0.432,-0.172
9.708,0.437,-0.172
9.742,0.443,-0.172
9.775,0.447,-0.172
9.808,0.451,-0.172
9.842,0.455,-0.171
9.875,0.458,-0.171
9.909,0.46,-0.171
9.942,0.462,-0.172
9.975,0.463,-0.172
10.009,0.463,-0.171
10.042,0.462,-0.171
10.075,0.461,-0.171
10.109,0.459,-0.17
10.142,0.457,-0.17
10.175,0.453,-0.171
10.209,0.449,-0.172
10.242,0.445,-0.172
10.276,0.44,-0.172
10.309,0.434,-0.172
10.342,0.428,-0.173
10.376,0.422,-0.174
10.409,0.416,-0.174
10.442,0.409,-0.174
10.476,0.402,-0.174
10.509,0.396,-0.175
10.542,0.389,-0.176
10.576,0.382,-0.177
10.609,0.376,-0.177
10.642,0.37,-0.176
10.676,0.365,-0.175
10.709,0.359,-0.176
10.743,0.355,-0.177
10.776,0.35,-0.176
10.809,0.347,-0.175
10.843,0.344,-0.175
10.876,0.341,-0.175
10.909,0.34,-0.176
10.943,0.339,-0.175
10.976,0.339,-0.175
11.009,0.339,-0.175
11.043,0.34,-0.174
11.076,0.342,-0.173
11.11,0.345,-0.173
11.143,0.348,-0.174
11.176,0.352,-0.174
11.21,0.356,-0.174
11.243,0.361,-0.173
11.276,0.367,-0.173
11.31,0.373,-0.173
11.343,0.379,-0.174
11.376,0.385,-0.173
11.41,0.392,-0.173
11.443,0.399,-0.173
11.477,0.405,-0.173
11.51,0.412,-0.173
11.543,0.418,-0.174
11.577,0.425,-0.174
11.61,0.431,-0.173
11.643,0.436,-0.172
11.677,0.442,-0.172
11.71,0.446,-0.173
11.743,0.451,-0.172
11.777,0.454,-0.172
11.81,0.457,-0.171
11.844,0.46,-0.172
11.877,0.461,-0.172
11.91,0.462,-0.171
11.944,0.463,-0.171
11.977,0.462,-0.171
12.01,0.461,-0.17
12.044,0.459,-0.169
12.077,0.457,-0.17
12.11,0.454,-0.171
12.144,0.45,-0.172
12.177,0.446,-0.171
12.211,0.441,-0.171
12.244,0.435,-0.172
12.277,0.43,-0.173
12.311,0.424,-0.173
12.344,0.417,-0.173
12.377,0.411,-0.173
12.411,0.404,-0.174
12.444,0.398,-0.174
12.477,0.391,-0.175
12.511,0.385,-0.177
12.544,0.378,-0.177
12.577,0.372,-0.176
12.611,0.366,-0.175
12.644,0.361,-0.176
12.678,0.356,-0.176
12.711,0.352,-0.176
12.744,0.348,-0.175
12.778,0.345,-0.174
12.811,0.342,-0.175
12.844,0.34,-0.175
12.878,0.339,-0.175
12.911,0.339,-0.174
12.944,0.339,-0.174
12.978,0.34,-0.173
13.011,0.342,-0.173
13.045,0.345,-0.173
13.078,0.348,-0.174
13.111,0.352,-0.174
13.145,0.356,-0.174
13.178,0.361,-0.173
13.211,0.366,-0.173
13.245,0.372,-0.174
13.278,0.378,-0.174
13.311,0.384,-0.174
13.345,0.391,-0.173
