"Latest: Time (s)","Latest: GateState","Latest: Distance (m)","Latest: Velocity (m/s)","Latest: Acceleration (m/s²)"
0.238109,1,0,,
0.284098,0,,,
0.96304,1,0.05,0.0696854321096,0.00196805110766
1.012206,0,,,
1.673424,1,0.1,0.0700862743003,-0.000839528532052
1.722988,0,,,
2.389905,1,0.15,0.0699188911452,0.000372291703445
2.440436,0,,,
3.103663,1,0.2,0.0700169647001,-9.74827209418E-05
3.153975,0,,,
3.818131,1,0.25,0.070030677567,0.000135868952183
3.86903,0,,,
4.53161,1,0.3,0.0699529314042,-0.000353804344291
4.582354,0,,,
5.247673,1,0.35,0.0699730088679,0.000409881711058
5.299018,0,,,
5.960745,1,0.4,0.0699493393712,-0.000476269107233
6.011998,0,,,
6.677296,1,0.45,0.0699521558474,0.000484130309452
6.728887,0,,,
7.390311,1,0.5,0.0698575841629,-0.000749402946062
7.44195,0,,,
8.108822,1,0.55,0.0698888429763,0.000836412924691
8.161156,0,,,
8.821207,1,0.6,0.0700190609962,-0.000470829651829
8.873944,0,,,
9.537021,1,0.65,0.069963753326,0.000316298809345
9.590066,0,,,
10.250526,1,0.7,0.0700770848002,1.37653757924E-06
10.303925,0,,,
10.964021,1,0.75,0.0700018024365,-0.000212400759577
11.017142,0,,,
11.679064,1,0.8,0.0701053134766,0.000501924718522
11.732601,0,,,
12.390465,1,0.85,0.0700794140588,-0.000574737148735
12.443653,0,,,
13.106041,1,0.9,0.0700958718491,0.000620735869477
13.159683,0,,,
13.817111,1,0.95,0.0700997536661,-0.000609817627752
13.870345,0,,,
14.532607,1,1,0.0701087121513,0.000634858956267
14.586225,0,,,
15.243497,1,1.05,0.0701008548359,-0.0006569645295
15.296821,0,,,
15.959155,1,1.1,0.0701057859999,0.00067074531327
16.012891,0,,,
16.669946,1,1.15,0.0700997762205,-0.000687655430102
16.723352,0,,,
17.385728,1,1.2,,
17.439557,0,,,
