"Latest: Time (s)","Latest: GateState","Latest: Distance (m)","Latest: Velocity (m/s)","Latest: Acceleration (m/s²)"
0.614062,1,0,,
0.667867,0,,,
1.345683,1,0.05,0.0702258257389,0.00515138411537
1.399914,0,,,
2.039991,1,0.1,0.070151168236,-0.00536643997775
2.094038,0,,,
2.773306,1,0.15,0.0701843318276,0.00545688839791
2.827854,0,,,
3.467008,1,0.2,0.0702124484566,-0.00537582584095
3.52135,0,,,
4.199683,1,0.25,0.0701923703026,0.0053210180366
4.254492,0,,,
4.893752,1,0.3,0.070239265042,-0.00518588813032
4.948368,0,,,
5.625364,1,0.35,0.070227369165,0.00515336849688
5.680489,0,,,
6.319651,1,0.4,0.0702265288404,-0.0051557891805
6.374486,0,,,
7.051282,1,0.45,0.0702194399976,0.00513641098899
7.106529,0,,,
7.745699,1,0.5,0.0702474780077,-0.0050556583285
7.800654,0,,,
8.476697,1,0.55,0.0702320175135,0.0050133586389
8.532157,0,,,
9.171398,1,0.6,0.070173167025,-0.00518278545272
9.22655,0,,,
9.903726,1,0.65,0.0702492502885,0.00539057011623
9.959502,0,,,
10.597035,1,0.7,0.0701725708083,-0.00561176868771
10.652482,0,,,
11.331111,1,0.75,0.0702540782768,0.00583383688911
11.387196,0,,,
12.022941,1,0.8,0.0701191397405,-0.00622392849059
12.078692,0,,,
12.760132,1,0.85,0.0703074378931,0.00673478158732
12.817272,0,,,
13.448593,1,0.9,0.0703573410681,-0.00658981135649
13.505653,0,,,
14.184621,1,0.95,0.0701602829996,0.00605434784555
14.242265,0,,,
14.876614,1,1,0.0702679062863,-0.00574329473747
14.933924,0,,,
15.610167,1,1.05,0.0702181484945,0.00560763230604
15.668224,0,,,
16.303063,1,1.1,0.0702653998208,-0.00547124437398
16.360644,0,,,
17.035539,1,1.15,0.0702566698796,0.00544740757584
17.09398,0,,,
17.728594,1,1.2,,
17.786484,0,,,
