"Latest: Time (s)","Latest: GateState","Latest: Distance (m)","Latest: Velocity (m/s)","Latest: Acceleration (m/s²)"
0.737105,1,0,,
0.79678,0,,,
1.470804,1,0.05,0.0702989068495,0.00586362979212
1.530153,0,,,
2.162121,1,0.1,0.0703059785792,-0.00584317107442
2.221992,0,,,
2.895658,1,0.15,0.0703010520918,0.00582973893008
2.955107,0,,,
3.587064,1,0.2,0.0703174864425,-0.00578220000011
3.647054,0,,,
4.320225,1,0.25,0.0703059302009,0.00575067556934
4.379825,0,,,
5.01184,1,0.3,0.070318058117,-0.00571560427627
5.071939,0,,,
5.744724,1,0.35,0.0703155721259,0.00570882014362
5.804442,0,,,
6.436384,1,0.4,0.0703101846733,-0.00572439847003
6.496611,0,,,
7.169391,1,0.45,0.0703131131188,0.00573238869523
7.229203,0,,,
7.860998,1,0.5,0.0703243720693,-0.00569982988492
7.921331,0,,,
8.593748,1,0.55,0.0702131474437,0.00539624851166
8.653791,0,,,
9.287377,1,0.6,0.070314465338,-0.00510410993536
9.348104,0,,,
10.017834,1,0.65,0.0703052387322,0.00507884737829
10.078298,0,,,
10.711632,1,0.7,0.0703053719672,-0.00507846330372
10.772487,0,,,
11.442086,1,0.75,0.070293807104,0.0050467984399
11.502642,0,,,
12.136096,1,0.8,0.0703007843979,-0.00502669125458
12.197049,0,,,
12.866393,1,0.85,0.070300838914,0.00502684055303
12.927064,0,,,
13.560402,1,0.9,0.0703094224176,-0.0050021045522
13.621503,0,,,
14.290506,1,0.95,0.0703114391808,0.00500762914373
14.351336,0,,,
14.984478,1,1,0.0703028117182,-0.00503249315135
15.04571,0,,,
15.714776,1,1.05,0.0703141032807,0.00506341631543
15.775776,0,,,
16.408541,1,1.1,0.0703180146325,-0.00505214059005
16.469938,0,,,
17.138751,1,1.15,0.0703135955144,0.00504003689906
17.199923,0,,,
17.832597,1,1.2,,
17.894162,0,,,
