"Latest: Time (s)","Latest: GateState","Latest: Distance (m)","Latest: Velocity (m/s)","Latest: Acceleration (m/s²)"
0.745074,1,0,,
0.772009,0,,,
1.477239,1,0.05,0.068720904211,0.00117538166658
1.504342,0,,,
2.200348,1,0.1,0.0686702221159,-0.00131555996638
2.227491,0,,,
2.933616,1,0.15,0.0687525793559,0.00154019063335
2.961091,0,,,
3.655032,1,0.2,0.0687441672805,-0.0015635116448
3.682567,0,,,
4.388484,1,0.25,0.0687083332627,0.00146579831728
4.416246,0,,,
5.110635,1,0.3,0.068858433283,-0.0010500957279
5.138406,0,,,
5.840828,1,0.35,0.0688261013725,0.000961538564241
5.868672,0,,,
6.563647,1,0.4,0.0688050504258,-0.00101978536385
6.591464,0,,,
7.294294,1,0.45,0.0688158405442,0.00104932115431
7.322247,0,,,
8.01689,1,0.5,0.0688749481065,-0.000885723342182
8.044878,0,,,
8.746264,1,0.55,0.0688640316655,0.000855789615405
8.774328,0,,,
9.469086,1,0.6,0.0688705531656,-0.000837745061754
9.497158,0,,,
10.19832,1,0.65,0.0688763471391,0.000853635635927
10.226507,0,,,
10.921022,1,0.7,0.06889023885,-0.000815191821155
10.949238,0,,,
11.649958,1,0.75,0.0688950191132,0.000828307549132
11.678238,0,,,
12.372561,1,0.8,0.0689044440693,-0.000802221424195
12.400865,0,,,
13.101295,1,0.85,0.0689059892004,0.000806462014436
13.129691,0,,,
13.823866,1,0.9,0.0688653613512,-0.000918915598228
13.852291,0,,,
14.553472,1,0.95,0.0689663048908,0.00119562258706
14.582129,0,,,
15.273964,1,1,0.068953235726,-0.00123190103236
15.302662,0,,,
16.003852,1,1.05,0.0689579196734,0.00124473573419
16.032615,0,,,
16.724248,1,1.1,0.0689644514622,-0.00122660185022
16.753029,0,,,
17.453995,1,1.15,,
17.482847,0,,,
