"Latest: Time (s)","Latest: GateState","Latest: Distance (m)","Latest: Velocity (m/s)","Latest: Acceleration (m/s²)"
0.76043,1,0,,
0.779373,0,,,
1.515168,1,0.05,0.0668720366785,0.00165324043461
1.534309,0,,,
2.256079,1,0.1,0.0668536172732,-0.00170296140039
2.275293,0,,,
3.011245,1,0.15,0.0668793543939,0.00177112421673
3.030472,0,,,
3.751602,1,0.2,0.0669061987469,-0.00169860689612
3.770932,0,,,
4.506144,1,0.25,0.0669407784114,0.00179026425777
4.52546,0,,,
5.245758,1,0.3,0.0669581332132,-0.00174333490861
5.265201,0,,,
5.999897,1,0.35,0.0669682933863,0.00177028000273
6.019289,0,,,
6.739293,1,0.4,0.0669901601592,-0.0017111323394
6.758834,0,,,
7.492925,1,0.45,0.0670289464041,0.00181406386289
7.512421,0,,,
8.23149,1,0.5,0.0670580512166,-0.00173524937139
8.251172,0,,,
8.984448,1,0.55,0.0670907485941,0.00182209983987
9.004089,0,,,
9.722314,1,0.6,0.0671119368107,-0.00176466877096
9.742188,0,,,
10.474782,1,0.65,0.0671412790983,0.00184265823392
10.494552,0,,,
11.212022,1,0.7,0.0671600209941,-0.00179181482932
11.232058,0,,,
11.964057,1,0.75,0.0671812886272,0.001848375051
11.983999,0,,,
12.700844,1,0.8,0.0671952817462,-0.00181039088731
12.721057,0,,,
13.452556,1,0.85,0.0672224630561,0.00188270930154
13.472689,0,,,
14.188765,1,0.9,0.0672400201668,-0.00183501330595
14.209174,0,,,
14.940072,1,0.95,0.0672658357785,0.00190373517801
14.960445,0,,,
15.675733,1,1,0.0672808463943,-0.00186292666487
15.696387,0,,,
16.426694,1,1.05,0.0673024091841,0.00192035385416
16.447297,0,,,
17.161898,1,1.1,0.0673175614874,-0.00187913453708
17.182802,0,,,
17.91251,1,1.15,,
17.933381,0,,,
