"Latest: Time (s)","Latest: GateState","Latest: Distance (m)","Latest: Velocity (m/s)","Latest: Acceleration (m/s²)"
0.773469,1,0,,
0.921758,0,,,
1.503884,1,0.05,0.0705401884439,0.005711694099
1.654468,0,,,
2.193449,1,0.1,0.070406254097,-0.00610015449618
2.3456,0,,,
2.926919,1,0.15,0.0704953961721,0.00634322394723
3.083139,0,,,
3.614891,1,0.2,0.070446330807,-0.00648586162765
3.772531,0,,,
4.349493,1,0.25,0.0704942088676,0.00661621264939
4.510796,0,,,
5.036615,1,0.3,0.0705413850904,-0.00647889723027
5.199466,0,,,
5.770127,1,0.35,0.0704038670783,0.00610393945994
5.934569,0,,,
6.459702,1,0.4,0.0705361916483,-0.00572015359186
6.625566,0,,,
7.190195,1,0.45,0.0705297481701,0.00570251214097
7.35773,0,,,
7.879886,1,0.5,0.0705423297137,-0.00566602756007
8.048988,0,,,
8.610094,1,0.55,0.0705561043365,0.00570375550291
8.780345,0,,,
9.299537,1,0.6,0.0705466153161,-0.00573128213062
9.471248,0,,,
10.02996,1,0.65,0.0706181275171,0.00592709250616
10.202455,0,,,
10.71812,1,0.7,0.0705816946996,-0.00603297723496
10.892055,0,,,
11.449372,1,0.75,0.070555927884,0.00596250408574
11.62381,0,,,
12.137993,1,0.8,0.0705728003547,-0.00591350043727
12.313638,0,,,
12.868861,1,0.85,0.0705932992622,0.00596959512887
13.0451,0,,,
13.557115,1,0.9,0.0705933432111,-0.00596946741766
13.734461,0,,,
14.287982,1,0.95,0.0705961943517,0.00597726949554
14.46576,0,,,
14.976185,1,1,0.0705931186296,-0.00598620791082
15.1552,0,,,
15.707122,1,1.05,0.0706258137961,0.00607566888067
15.886542,0,,,
16.394741,1,1.1,0.0706128738988,-0.00611330570351
16.575248,0,,,
17.125973,1,1.15,0.0706238691287,0.00614337886729
17.306857,0,,,
17.813396,1,1.2,,
17.995321,0,,,
