"Latest: Time (s)","Latest: GateState","Latest: Distance (m)","Latest: Velocity (m/s)","Latest: Acceleration (m/s²)"
0.705719,1,0,,
0.745842,0,,,
1.420631,1,0.05,0.0697542285538,-0.000516005364391
1.461382,0,,,
2.139344,1,0.1,0.0697863825893,0.000605482069219
2.179786,0,,,
2.853603,1,0.15,0.0697672559852,-0.000659038563752
2.894666,0,,,
3.572714,1,0.2,0.0697818187598,0.000699540724325
3.613341,0,,,
4.286678,1,0.25,0.0697750532182,-0.000718492776787
4.328029,0,,,
5.00593,1,0.3,0.0698016137712,0.000792348819086
5.046866,0,,,
5.719357,1,0.35,0.0697865251765,-0.000834647736132
5.760955,0,,,
6.438924,1,0.4,0.0697992633063,0.000870052722242
6.48009,0,,,
7.152094,1,0.45,0.0698021347417,-0.000862000125008
7.193962,0,,,
7.871601,1,0.5,0.0698062512033,0.000873442575566
7.913053,0,,,
8.584688,1,0.55,0.0698021840293,-0.00088484980648
8.626832,0,,,
9.30428,1,0.6,0.0698127557436,0.000914232329625
9.345986,0,,,
10.017154,1,0.65,0.0698102212416,-0.000921342988611
10.059586,0,,,
10.736799,1,0.7,0.0698115124254,0.000924931379526
10.778805,0,,,
11.449647,1,0.75,0.0698195001093,-0.000902520756525
11.492354,0,,,
12.169125,1,0.8,0.0698233239496,0.000913150241576
12.211444,0,,,
12.881896,1,0.85,0.0698127079776,-0.00094293813149
12.924925,0,,,
13.601596,1,0.9,0.0698241406622,0.000974708826626
13.64425,0,,,
14.314137,1,0.95,0.0698241406622,-0.000974708826626
14.357472,0,,,
15.033837,1,1,0.0698274233802,0.000983831288773
15.076789,0,,,
15.746312,1,1.05,0.0698276622693,-0.000983160699401
15.789967,0,,,
16.466007,1,1.1,0.0698291547038,0.00098730810749
16.509287,0,,,
17.178452,1,1.15,0.0698366102388,-0.000966378674187
17.222441,0,,,
17.897991,1,1.2,,
17.941628,0,,,
