"Latest: Time (s)","Latest: GateState","Latest: Distance (m)","Latest: Velocity (m/s)","Latest: Acceleration (m/s²)"
2.062899,1,0,,
2.099997,0,,,
2.779368,1,0.05,0.0696295284329,-0.000438711431969
2.815842,0,,,
3.499086,1,0.1,0.0696391700188,0.000465504108901
3.536272,0,,,
4.215358,1,0.15,0.0696471459625,-0.000443233396936
4.252044,0,,,
4.93491,1,0.2,0.069652237972,0.000457386674362
4.972293,0,,,
5.651078,1,0.25,0.0696500755882,-0.000463425435719
5.687978,0,,,
6.370675,1,0.3,0.0696507122846,0.000465195027165
6.408226,0,,,
7.08683,1,0.35,0.0696503279104,-0.000466268465713
7.123919,0,,,
7.806435,1,0.4,0.0696516014209,0.000469807936748
7.844175,0,,,
8.522564,1,0.45,0.069655493661,-0.000458937716243
8.559916,0,,,
9.242088,1,0.5,0.069663185787,0.000480318868477
9.280075,0,,,
9.95806,1,0.55,0.0696609276651,-0.000486626718335
9.99567,0,,,
10.677631,1,0.6,0.0696636727529,0.000494256508279
10.715888,0,,,
11.393547,1,0.65,0.0696706401773,-0.000474792145388
11.431397,0,,,
12.112973,1,0.7,0.0696658866515,0.000461577371932
12.151453,0,,,
12.828986,1,0.75,0.0696691079484,-0.000452579499192
12.867157,0,,,
13.548345,1,0.8,0.0696681771572,0.000449991664214
13.587067,0,,,
14.264377,1,0.85,0.0696733236253,-0.000435616697569
14.302786,0,,,
14.983629,1,0.9,0.069676752715,0.00044515185257
15.022608,0,,,
15.699591,1,0.95,0.0696806016669,-0.000434400019396
15.738294,0,,,
16.418763,1,1,0.069689422961,0.00045893182555
16.458022,0,,,
17.134545,1,1.05,0.0696893267459,-0.00045920066474
17.173524,0,,,
17.853719,1,1.1,,
17.893234,0,,,
