"Latest: Time (s)","Latest: GateState","Latest: Distance (m)","Latest: Velocity (m/s)","Latest: Acceleration (m/s²)"
2.555821,1,0,,
2.642127,0,,,
3.298474,1,0.05,0.0717181403556,0.0118277211345
3.39611,0,,,
3.959605,1,0.1,0.0693714464658,-0.0189267495866
4.057972,0,,,
4.769939,1,0.15,0.0760854069897,0.0354975969751
4.897322,0,,,
5.348902,1,0.2,0.0743458424058,-0.0415068396517
5.478165,0,,,
6.246176,1,0.25,0.0815671944316,0.0576030422072
6.411569,0,,,
6.764356,1,0.3,0.0809085680775,-0.0601451177566
6.931434,0,,,
7.726201,1,0.35,0.111380847019,0.123507258103
7.999833,0,,,
8.098332,1,0.4,0.111856400335,-0.120951419882
8.372962,0,,,
9.191911,1,0.45,0.0410417269639,-0.00855851652238
9.829725,0,,,
10.624029,1,0.5,0.0351040065449,0.000266294206975
11.288301,0,,,
12.040755,1,0.55,0.0352818378861,-1.52487102861E-05
12.705781,0,,,
13.458349,1,0.6,0.0352709550037,-1.05308371757E-07
14.123409,0,,,
14.875949,1,0.65,0.035272908488,2.86135276422E-06
15.540565,0,,,
16.293386,1,0.7,,
16.957557,0,,,
17.71094,1,,,
