"Latest: Time (s)","Latest: GateState","Latest: Distance (m)","Latest: Velocity (m/s)","Latest: Acceleration (m/s²)"
0.570392,1,0,,
0.660281,0,,,
1.396951,1,0.05,0.0743081661777,0.0334311686096
1.504816,0,,,
1.990559,1,0.1,0.0733341581432,-0.0367128226117
2.099333,0,,,
2.862814,1,0.15,0.0767918633222,0.0446410206249
2.99395,0,,,
3.422783,1,0.2,0.0763552539696,-0.0462004260656
3.556826,0,,,
4.322537,1,0.25,0.0793854950068,0.0529361361311
4.479683,0,,,
4.8571,1,0.3,0.0790750629762,-0.0540975783954
5.014605,0,,,
5.782072,1,0.35,0.0830584610041,0.0627105916064
5.970784,0,,,
6.287587,1,0.4,0.0829937939438,-0.0629664378631
6.477582,0,,,
7.219458,1,0.45,0.0905065169089,0.0790903927133
7.458397,0,,,
7.679452,1,0.5,0.09026066568,-0.0801593250426
7.918207,0,,,
8.662653,1,0.55,0.0981392429387,0.0961857067462
8.946686,0,,,
9.084802,1,0.6,0.0981253570866,-0.0962514932439
9.367267,0,,,
10.085011,1,0.65,0.0438148247544,-0.0123468743617
10.798751,0,,,
11.513821,1,0.7,0.0351167357862,0.00017158307993
12.236853,0,,,
12.932725,1,0.75,0.0352346051739,-5.44162465406E-06
13.656207,0,,,
14.35194,1,0.8,0.0352424724338,1.6528401403E-05
15.075445,0,,,
15.770211,1,0.85,0.035254702904,7.1861292659E-07
16.493944,0,,,
17.188441,1,0.9,,
17.912419,0,,,
