"Latest: Time (s)","Latest: GateState","Latest: Distance (m)","Latest: Velocity (m/s)","Latest: Acceleration (m/s²)"
0.561001,1,0,,
0.610111,0,,,
1.287706,1,0.05,0.0701102131859,0.00359569093349
1.337565,0,,,
1.988283,1,0.1,0.0700805289434,-0.00368043320315
2.03767,0,,,
2.71564,1,0.15,0.0700946422199,0.00371924021681
2.765816,0,,,
3.41595,1,0.2,0.0701148851822,-0.00366142878412
3.465642,0,,,
4.142862,1,0.25,0.0701128238972,0.00365575743761
4.19322,0,,,
4.843211,1,0.3,0.0700970347523,-0.00370084680014
4.893064,0,,,
5.57047,1,0.35,0.0701108421787,0.00373881793945
5.621032,0,,,
6.270558,1,0.4,0.0701222563334,-0.00370621016812
6.32064,0,,,
6.997566,1,0.45,0.0701157496204,0.00368831019191
7.048376,0,,,
7.697777,1,0.5,0.0701056972033,-0.00371702272882
7.748093,0,,,
8.425006,1,0.55,0.0701198298709,0.00375588990146
8.476094,0,,,
9.12495,1,0.6,0.0701240572266,-0.003743810776
9.175489,0,,,
9.852086,1,0.65,0.0701231570293,0.00374133476811
9.903388,0,,,
10.552047,1,0.7,0.07011661198,-0.00376003595085
10.602786,0,,,
11.279327,1,0.75,0.0701172475256,0.00376178368364
11.330861,0,,,
11.979276,1,0.8,0.070136211444,-0.00370759711185
12.030259,0,,,
12.706139,1,0.85,0.0701408176118,0.00372027121366
12.757918,0,,,
13.406001,1,0.9,0.070125400402,-0.00376432907017
13.457205,0,,,
14.133203,1,0.95,0.0701297983014,0.00377642446975
14.185211,0,,,
14.832982,1,1,0.0701454411025,-0.00373171663735
14.884428,0,,,
15.55984,1,1.05,0.0701345335362,0.00370170371497
15.612046,0,,,
16.259825,1,1.1,0.0701239779637,-0.00373186313974
16.311497,0,,,
16.986915,1,1.15,0.0701530238605,0.00381175943001
17.039417,0,,,
17.686352,1,1.2,,
17.738337,0,,,
