"Latest: Time (s)","Latest: GateState","Latest: Distance (m)","Latest: Velocity (m/s)","Latest: Acceleration (m/s²)"
0.416289,1,0,,
0.433651,0,,,
1.175846,1,0.05,0.0662918433323,0.00122176201145
1.19342,0,,,
1.924916,1,0.1,0.0663079212728,-0.00117883427305
1.942354,0,,,
2.684097,1,0.15,0.0663302021886,0.00123753151589
2.70178,0,,,
3.432674,1,0.2,0.0663531051534,-0.00117634084384
3.45024,0,,,
4.19132,1,0.25,0.0663877417467,0.0012676524524
4.209151,0,,,
4.939132,1,0.3,0.0663937796751,-0.0012515042001
4.956845,0,,,
5.697637,1,0.35,0.0664208328422,0.0013228370643
5.715603,0,,,
6.444853,1,0.4,0.0664388664805,-0.0012745681881
6.462716,0,,,
7.202937,1,0.45,0.0664625551367,0.00133706431291
7.221074,0,,,
7.949632,1,0.5,0.0664693260893,-0.00131892852076
7.967666,0,,,
8.707558,1,0.55,0.066498623769,0.00139623865306
8.725859,0,,,
9.45361,1,0.6,0.0665240948786,-0.00132795625554
9.471817,0,,,
10.210942,1,0.65,0.0665466830328,0.00138760817627
10.229439,0,,,
10.956499,1,0.7,0.0665582729146,-0.00135651764459
10.974923,0,,,
11.713561,1,0.75,0.0665849247775,0.00142692631102
11.732251,0,,,
12.458535,1,0.8,0.0665959164444,-0.00139741745047
12.477202,0,,,
13.215341,1,0.85,0.0666239975192,0.00147162689062
13.234273,0,,,
13.959702,1,0.9,0.0666378702614,-0.00143435265895
13.97856,0,,,
14.716185,1,0.95,0.0666613676106,0.00149647526886
14.735294,0,,,
15.460034,1,1,0.0666754205003,-0.00145869101483
15.479109,0,,,
16.21619,1,1.05,0.0667029140707,0.00153141032231
16.23551,0,,,
16.959441,1,1.1,0.0662757588137,-0.00268083429079
16.978749,0,,,
17.725741,1,1.15,,
17.745749,0,,,
