"Latest: Time (s)","Latest: GateState","Latest: Distance (m)","Latest: Velocity (m/s)","Latest: Acceleration (m/s²)"
0.776729,1,0,,
0.803696,0,,,
1.508996,1,0.05,0.0687579639458,0.00130241791527
1.536068,0,,,
2.231244,1,0.1,0.0685527414869,-0.00187070597955
2.258322,0,,,
2.968016,1,0.15,0.0687027003525,0.00227777591595
2.995523,0,,,
3.687215,1,0.2,0.0687581123343,-0.0021236823151
3.714785,0,,,
4.422757,1,0.25,0.0687136741509,0.00200285119079
4.450577,0,,,
5.142857,1,0.3,0.0686464530575,-0.00218955051963
5.170729,0,,,
5.87989,1,0.35,0.0687649743142,0.00251116775158
5.908014,0,,,
6.597599,1,0.4,0.0689036309003,-0.0021247811071
6.625836,0,,,
7.331556,1,0.45,0.0688811272485,0.00206345966236
7.359768,0,,,
8.049719,1,0.5,0.0689314475329,-0.00192332355289
8.078046,0,,,
8.78257,1,0.55,0.0689088708176,0.00186171016813
8.810907,0,,,
9.50119,1,0.6,0.068928281282,-0.00180768867027
9.529622,0,,,
10.233616,1,0.65,0.0689210323385,0.00178789433333
10.262045,0,,,
10.952383,1,0.7,0.0689326059184,-0.00175569035073
10.980883,0,,,
11.684556,1,0.75,0.0689381759722,0.00177090548083
11.713105,0,,,
12.40321,1,0.8,0.0689412424452,-0.00176237154645
12.43184,0,,,
13.135316,1,0.85,0.068946962576,0.0017779980564
13.163993,0,,,
13.853854,1,0.9,0.0689152001874,-0.00186640643186
13.882614,0,,,
14.586655,1,0.95,0.0689180639215,0.00187422228945
14.615433,0,,,
15.305135,1,1,0.0689723162399,-0.00172320258564
15.334021,0,,,
16.03675,1,1.05,0.0689786780188,0.00174059364205
16.06564,0,,,
16.755101,1,1.1,0.0689528957518,-0.00181237545075
16.784085,0,,,
17.487279,1,1.15,,
17.51626,0,,,
