"Latest: Time (s)","Latest: GateState","Latest: Distance (m)","Latest: Velocity (m/s)","Latest: Acceleration (m/s²)"
3.204024,1,0,,
3.303932,0,,,
3.988305,1,0.05,0.071631536775,0.0200919739106
4.096938,0,,,
4.62879,1,0.1,0.0717867011861,-0.0196074523025
4.736226,0,,,
5.408276,1,0.15,0.0717350930613,0.0194750365187
5.517124,0,,,
6.049476,1,0.2,0.0718085680562,-0.0192458568716
6.157163,0,,,
6.826729,1,0.25,0.0717613166571,0.0191242712384
6.935604,0,,,
7.468587,1,0.3,0.0714939278676,-0.0199574424057
7.57623,0,,,
8.25406,1,0.35,0.0716877294225,0.0204509069931
8.365748,0,,,
8.893252,1,0.4,0.0718948907451,-0.0198027095106
9.004005,0,,,
9.672295,1,0.45,0.0718226016517,0.0196171251631
9.785172,0,,,
10.312484,1,0.5,0.0710824642972,-0.0219293715606
10.423446,0,,,
11.115314,1,0.55,0.0714633328701,0.02287818656
11.237369,0,,,
11.75041,1,0.6,0.070794786919,-0.0249835248118
11.872752,0,,,
12.577334,1,0.65,0.0751102720868,0.0354209656598
12.731606,0,,,
13.162329,1,0.7,0.074473126575,-0.0375992595319
13.31678,0,,,
14.018948,1,0.75,0.0772644271871,0.0441162772776
14.203295,0,,,
14.577128,1,0.8,0.0766920651428,-0.0461670925856
14.760072,0,,,
15.46793,1,0.85,0.0821384368539,0.0583951111826
15.696285,0,,,
15.982527,1,0.9,0.0817614711003,-0.0598602023262
16.209019,0,,,
16.906754,1,0.95,0.0804206775109,0.0569587644989
17.150519,0,,,
17.431115,1,1,,
17.674275,0,,,
