"Latest: Time (s)","Latest: GateState","Latest: Distance (m)","Latest: Velocity (m/s)","Latest: Acceleration (m/s²)"
0.686932,1,0,,
0.723528,0,,,
1.420197,1,0.05,0.0697214557829,0.00418207252017
1.457122,0,,,
2.122542,1,0.1,0.0697066125609,-0.00422434012938
2.159293,0,,,
2.856141,1,0.15,0.0697390058149,0.00431265337397
2.89323,0,,,
3.557874,1,0.2,0.069718793121,-0.00437026130711
3.594813,0,,,
4.291929,1,0.25,0.0697433161035,0.00443707641627
4.329216,0,,,
4.9932,1,0.3,0.0697267343982,-0.00448436685115
5.030314,0,,,
5.72763,1,0.35,0.0697391791615,0.00451825643435
5.765056,0,,,
6.428667,1,0.4,0.0697349840941,-0.00453022461126
6.465931,0,,,
7.163192,1,0.45,0.0697554884618,0.00458605488993
7.200769,0,,,
7.863844,1,0.5,0.0697626389399,-0.00456564396387
7.901297,0,,,
8.598207,1,0.55,0.0697533698467,0.0045404000636
8.63594,0,,,
9.299033,1,0.6,0.0697641517321,-0.00450963098425
9.336615,0,,,
10.033152,1,0.65,0.0697174973892,0.00438252804068
10.071038,0,,,
10.734856,1,0.7,0.0697692868213,-0.00423491756088
10.772682,0,,,
11.467808,1,0.75,0.0697295758656,0.00412655860786
11.505964,0,,,
12.170263,1,0.8,0.0697804252306,-0.00398178245841
12.208313,0,,,
12.902076,1,0.85,0.0697916062557,0.00401233951341
12.940465,0,,,
13.604319,1,0.9,0.0697538711232,-0.00411980981214
13.642513,0,,,
14.336977,1,0.95,0.0697576219963,0.00413004889533
14.375576,0,,,
15.039149,1,1,0.0697092365625,-0.00426786536708
15.077575,0,,,
15.772895,1,1.05,0.0697276628689,0.00431809066699
15.811948,0,,,
16.474719,1,1.1,0.0697303683966,-0.00431038067809
16.513601,0,,,
17.208404,1,1.15,0.0697230587725,0.00429045489498
17.24776,0,,,
17.910366,1,1.2,,
17.949591,0,,,
