"Latest: Time (s)","Latest: GateState","Latest: Distance (m)","Latest: Velocity (m/s)","Latest: Acceleration (m/s²)"
0.513751,1,0,,
0.56514,0,,,
1.241819,1,0.05,0.0701665632736,0.00409758231682
1.294356,0,,,
1.940169,1,0.1,0.0697115553189,-0.00540067662403
1.991689,0,,,
2.678528,1,0.15,0.0701815148711,0.00667366050361
2.732926,0,,,
3.368342,1,0.2,0.0704002211785,-0.00603955824571
3.421848,0,,,
4.101632,1,0.25,0.070190361063,0.00546717865358
4.156513,0,,,
4.795244,1,0.3,0.0701645090238,-0.00554172188283
4.849165,0,,,
5.529124,1,0.35,0.0700925195225,0.00534553312918
5.584239,0,,,
6.224052,1,0.4,0.070229087813,-0.0049524901365
6.278314,0,,,
6.954838,1,0.45,0.0702068279916,0.00489156991817
7.010104,0,,,
7.650176,1,0.5,0.070229346816,-0.00482679904605
7.704651,0,,,
8.380456,1,0.55,0.0702021619203,0.00475234843631
8.436002,0,,,
9.076296,1,0.6,0.0702500658878,-0.00461466170533
9.131439,0,,,
9.805504,1,0.65,0.0701535158544,0.00434985376763
9.861613,0,,,
10.503138,1,0.7,0.0700538765129,-0.00463550309538
10.558312,0,,,
11.234575,1,0.75,0.0701051125959,0.00477560014537
11.291158,0,,,
11.931258,1,0.8,0.0701217413518,-0.00472786320928
11.987095,0,,,
12.662321,1,0.85,0.0701475052191,0.00479834651176
12.71969,0,,,
13.358527,1,0.9,0.0702345223408,-0.00454837129813
13.415005,0,,,
14.087641,1,0.95,0.0701672842941,0.00436393361966
14.14556,0,,,
14.785097,1,1,0.0702216820559,-0.00420794453427
14.842047,0,,,
15.513003,1,1.05,0.0701948739603,0.00413428640942
15.571521,0,,,
16.21096,1,1.1,0.0702670430991,-0.00392748530622
16.268399,0,,,
16.937274,1,1.15,0.0701883415785,0.00371077044023
16.996082,0,,,
17.636711,1,1.2,,
17.694378,0,,,
