"Latest: Time (s)","Latest: GateState","Latest: Distance (m)","Latest: Velocity (m/s)","Latest: Acceleration (m/s²)"
2.334684,1,0,,
2.358229,0,,,
3.076506,1,0.05,0.0682936605709,0.00240501550681
3.100192,0,,,
3.799436,1,0.1,0.0681782569026,-0.00272428201473
3.822548,0,,,
4.54388,1,0.15,0.068307031627,0.00307024416736
4.567224,0,,,
5.264208,1,0.2,0.0681779849716,-0.00342854387351
5.287197,0,,,
6.011629,1,0.25,0.0682425325197,0.00360126459739
6.036593,0,,,
6.730668,1,0.3,0.0683343120793,-0.00334598064312
6.755386,0,,,
7.475964,1,0.35,0.0682746711712,0.00318593441163
7.501313,0,,,
8.196197,1,0.4,0.0684603088404,-0.00267044103882
8.22118,0,,,
8.937258,1,0.45,0.0684363959785,0.00260590421403
8.962756,0,,,
9.657974,1,0.5,0.0685621671299,-0.00225688698274
9.68316,0,,,
10.396209,1,0.55,0.0685438987602,0.00220739496538
10.421973,0,,,
11.117296,1,0.6,0.0685830689115,-0.0020987530087
11.14278,0,,,
11.854658,1,0.65,0.0686070767952,0.00216387131883
11.880762,0,,,
12.575257,1,0.7,0.0687130548992,-0.00186973240386
12.603191,0,,,
13.310271,1,0.75,0.0686194585596,0.00161505333772
13.337435,0,,,
14.032784,1,0.8,0.0687477184108,-0.00126001515521
14.061184,0,,,
14.764994,1,0.85,0.0686504864145,0.000994430155505
14.793018,0,,,
15.489519,1,0.9,0.0688080825352,-0.000559397214689
15.519531,0,,,
16.218337,1,0.95,0.068690166577,0.000235815859152
16.248226,0,,,
16.945336,1,1,0.0687545725084,-5.86328605442E-05
16.975145,0,,,
17.672786,1,1.05,,
17.70316,0,,,
