"Latest: Time (s)","Latest: GateState","Latest: Distance (m)","Latest: Velocity (m/s)","Latest: Acceleration (m/s²)"
1.868776,1,0,,
1.919363,0,,,
2.595973,1,0.05,0.0700966824536,0.00368407216868
2.646392,0,,,
3.296382,1,0.1,0.0701041445085,-0.00366276446168
3.347071,0,,,
4.023415,1,0.15,0.0701018195829,0.00365636880809
4.074016,0,,,
4.723868,1,0.2,0.0701142989943,-0.00362073640621
4.774749,0,,,
5.450627,1,0.25,0.070107751582,0.00360271829495
5.501328,0,,,
6.151204,1,0.3,0.0701128121523,-0.00358827143102
6.202174,0,,,
6.877852,1,0.35,0.0701211542129,0.00361123182061
6.928718,0,,,
7.578271,1,0.4,0.0701177354651,-0.00362099382841
7.629372,0,,,
8.304994,1,0.45,0.0701432737376,0.00369127720343
8.356008,0,,,
9.00493,1,0.5,0.0701241171669,-0.00374601526713
9.056189,0,,,
9.732074,1,0.55,0.0701403854727,0.003790761028
9.783167,0,,,
10.431703,1,0.6,0.070131391879,-0.0038164706363
10.48297,0,,,
11.159045,1,0.65,0.0701525722533,0.00387471111828
11.210272,0,,,
11.858275,1,0.7,0.0701262863878,-0.00394989629463
11.909667,0,,,
12.586197,1,0.75,0.0701552429972,0.00402945594361
12.637389,0,,,
13.284883,1,0.8,0.0701019615747,-0.0041819748792
13.33616,0,,,
14.013986,1,0.85,0.0701556060602,0.00432912688792
14.065334,0,,,
14.711669,1,0.9,0.0701605949586,-0.00431482555528
14.763183,0,,,
15.440661,1,0.95,0.0701607557276,0.00431526662744
15.492207,0,,,
16.138341,1,1,0.0701646225855,-0.00430418172347
16.19,0,,,
16.867247,1,1.05,0.0701518759574,0.00426920704067
16.918973,0,,,
17.565165,1,1.1,,
17.617037,0,,,
