"Latest: Time (s)","Latest: GateState","Latest: Distance (m)","Latest: Velocity (m/s)","Latest: Acceleration (m/s²)"
0.381156,1,0,,
0.401692,0,,,
1.123516,1,0.05,0.067495750343,0.00038521335031
1.144279,0,,,
1.862744,1,0.1,0.0674976929062,-0.000379957696547
1.883409,0,,,
2.605061,1,0.15,0.0675132771746,0.000421945872473
2.625972,0,,,
3.34395,1,0.2,0.0675183813059,-0.000408130180834
3.364757,0,,,
4.086154,1,0.25,0.0675397895626,0.00046581851623
4.107253,0,,,
4.824578,1,0.3,0.067542860254,-0.000457501637589
4.845571,0,,,
5.566714,1,0.35,0.0675635683179,0.000513308292918
5.587981,0,,,
6.304689,1,0.4,0.0675705665603,-0.00049434222403
6.325856,0,,,
7.04667,1,0.45,0.0675834966907,0.00052919522
7.068124,0,,,
7.784365,1,0.5,0.0675998970682,-0.000484731376453
7.805737,0,,,
8.525983,1,0.55,0.067613066788,0.000520247558048
8.547633,0,,,
9.263393,1,0.6,0.0676274030597,-0.000481364788205
9.284967,0,,,
10.004694,1,0.65,0.067636557635,0.000506063460916
10.026529,0,,,
10.741906,1,0.7,0.0676519051171,-0.000464426911113
10.763675,0,,,
11.482868,1,0.75,0.0676618957859,0.000491393661926
11.504915,0,,,
12.219864,1,0.8,0.0676698697771,-0.000469754490969
12.241854,0,,,
12.96065,1,0.85,0.0676855172281,0.000512000027464
12.982899,0,,,
13.697308,1,0.9,0.0676963950096,-0.000482467241735
13.719522,0,,,
14.437854,1,0.95,0.0677091840476,0.000517006724925
14.460321,0,,,
15.174236,1,1,0.0677261500006,-0.000470927507882
15.196667,0,,,
15.914408,1,1.05,0.0677404780081,0.000509642853779
15.937078,0,,,
16.650481,1,1.1,0.0677463334063,-0.000493733023858
16.673132,0,,,
17.390524,1,1.15,,
17.413383,0,,,
