"Latest: Time (s)","Latest: GateState","Latest: Distance (m)","Latest: Velocity (m/s)","Latest: Acceleration (m/s²)"
1.442241,1,0,,
1.480591,0,,,
2.166989,1,0.05,0.0696566821803,0.0018411506933
2.206065,0,,,
2.878112,1,0.1,0.069638721771,-0.00189166349997
2.917109,0,,,
3.603245,1,0.15,0.0695676209234,0.00169555920568
3.642732,0,,,
4.315783,1,0.2,0.0696688729402,-0.00141135817539
4.355243,0,,,
5.038758,1,0.25,0.0696303207425,0.00130470940414
5.078775,0,,,
5.752069,1,0.3,0.0697518066538,-0.000964084035188
5.791811,0,,,
6.472483,1,0.35,0.0697244482214,0.000888132061882
6.512665,0,,,
7.186346,1,0.4,0.069766622856,-0.000769973158452
7.226254,0,,,
7.905878,1,0.45,0.0697652879077,0.000766262556783
7.946246,0,,,
8.619768,1,0.5,0.0697769832334,-0.000733497493052
8.659862,0,,,
9.339056,1,0.55,0.0697852892456,0.000756592587657
9.379667,0,,,
10.052778,1,0.6,0.0697721599216,-0.000793383730335
10.093095,0,,,
10.77234,1,0.65,0.0697916697718,0.000847610746611
10.81324,0,,,
11.485668,1,0.7,0.0697958346104,-0.000835933541621
11.526186,0,,,
12.205143,1,0.75,0.0697957355062,0.000835658051188
12.246213,0,,,
12.918473,1,0.8,0.0697887470801,-0.000855251860556
12.959149,0,,,
13.638094,1,0.85,0.0697936547193,0.000868891371148
13.679343,0,,,
14.351325,1,0.9,0.0698057179155,-0.000835064472939
14.392238,0,,,
15.070694,1,0.95,0.0698042806105,0.000831068456996
15.112165,0,,,
15.783954,1,1,0.0698144392977,-0.000802583228109
15.825005,0,,,
16.503111,1,1.05,0.069820187892,0.000818570263829
16.544761,0,,,
17.216255,1,1.1,0.0697096195913,-0.00112865714872
17.257539,0,,,
17.93773,1,1.15,,
17.980128,0,,,
